text,sentiment,person 1,person 2
In a few hours Mandrake Draught will be ready and everyone who was petrified will be all right again..,0,0,1
But...why here?,1,1,1
This house has been my family's for centuries.,1,1,1
It's mine now.,1,1,1
I'm the last of the Blacks.,1,1,1
"I offered it up as headquarters for, well, and Dumbledore accepted.",1,2,1
It's about the most useful thing I've been able to do for a long while..,2,2,1
"What does he think Dumbledore is going to do, raise an army?",1,0,1
That's exactly what he's worried about.,1,0,0
Fudge is getting more paranoid about Dumbledore every day..,0,0,0
Dear Mr. Potter.,1,1,1
We have received intelligence that a Hover Charm was used at your place of residence at twelve minutes past seven this evening.,2,0,1
"As you know, underage wizards...'.",1,1,1
Dumbledore had a theory.,1,1,1
He felt that the Horcruxes would not be made out of random objects.,0,0,1
And he felt they wouldnâ€™t be hidden randomly either.,1,1,1
We know of three so far.,1,1,1
"The ring, which according to Dumbledore belonged to Tom Riddleâ€™s grandfather.",1,1,1
"The diary, which belonged to Tom himself.",1,1,1
"And this, which -- again, according to Dumbledore -- belonged to his mother..",1,1,1
"The day I was at Gringotts, Hagrid took something out of one of the vaults.",1,1,1
"He said it was Hogwarts' business, very secret..",1,1,1
I did think of Voldemort first.,1,1,1
"But then, I remembered that night on the train... and the Dementors....",1,1,1
"Sir, my motherâ€™s Patronus.",1,1,1
"It was a doe, wasnâ€™t it?",1,1,1
Just like Professor Snapeâ€™s.,1,1,1
"Curious, donâ€™t you think?.",1,1,1
Haven't seen him.,1,1,1
Oh well.,1,1,1
Maybe he's crawled up into the air ducts and died...mustn't get my hopes up though..,0,0,0
Potentially problematic?,1,0,1
When was the last time you held your breath under the water for an hour Hermione?.,1,1,1
Because I need to.,1,1,1
"Because if I donâ€™t, I donâ€™t know who I am anymore.",1,0,1
Iâ€™ve lost too many people to lie down now.,0,0,0
"Iâ€™m not interested in what happened between you and your brother, I donâ€™t even care that youâ€™ve given up.",0,0,0
I trust the man I knew.,1,2,2
Iâ€™m going to see this through.,1,2,1
I need to get into the castle tonight..,1,1,1
"Youâ€™ll think Iâ€™m mental, but more than once, when Iâ€™ve looked into it -- I think Iâ€™ve seen Dumbledore..",1,1,0
I can't explain it -- it was... scary.,0,0,0
D'you think I should've told them!,0,0,1
